english,urdu
"In the ultimate end the petition was a llowed while invoking the jurisdiction of this Court under Article 184 (3) of the Constitution and the notification/enactment of the government denying increase of pension to a particular class of pensioners who had retired from a particular date and giving the same to the other class of pensioners who had retired from another particular date being discriminatory and violative of Article 25 of the Constitution and the prayed relief was thus, granted.",آئین کے آرٹیکل 184 (3) کے تحت اس عدالت کے دائرہ اختیار اور حکومت کے نوٹیفکیشن/نوٹیفکیشن کے تحت درخواست کو حتمی طور پر منظور کیا گیا جس میں پنشنرز کے ایک مخصوص طبقے کے پنشن میں اضافے سے انکار کیا گیا تھا جو ایک مخصوص تاریخ سے ریٹائر ہوئے تھے اور دوسرے طبقے کے پنشنرز کو بھی وہی دیا گیا تھا جو کسی اور مخصوص تاریخ سے ریٹائر ہوئے تھے۔ آئین اور دعا کی گئی ریلیف اس طرح دی گئی۔
"In the present case too, the Moharars, Readers and Examiners are holding similar grades/BPS scales like Senior and Junior CP 2167/14 12 Clerks serving in the executive department.",موجودہ کیس میں بھی، محرار، ریڈرز اور ایگزامینرز اسی طرح کے گریڈز/بی پی ایس سکیلز کے حامل ہیں جیسے سینئر اور جونیئر CP 2167/14 12 کلرک ایگزیکٹو ڈیپارٹمنٹ میں خدمات انجام دے رہے ہیں۔
We deem it essential to clarify that post and grade are two different nomenclatures .,ہم یہ واضح کرنا ضروری سمجھتے ہیں کہ پوسٹ اور گریڈ دو مختلف نام ہیں۔
"Realizing the mistake committed by the Finance Departme nt, the same was clarified vide letter dated 27.07.1989 holding the petitioners working as Readers , Moharars , Examiners etc.",محکمہ خزانہ کی طرف سے غلطی کا احساس کرتے ہوئے، 27.07.1989 کے خط کے ذریعے اس کی وضاحت کی گئی تھی جس میں درخواست گزاروں کو ریڈرز، محرار، ایگزامینرز وغیرہ کے طور پر کام کر رہے تھے۔
"attached to the District Judiciary entitled to the same benefit like others therefore, the objection o f the Accountant General or a nybody else would be of no legal eff ect as it would be hit by the prohibition contained in Article 25 of the Constitution.",ضلعی عدلیہ سے منسلک دوسروں کی طرح ایک ہی فائدے کا حقدار ہے لہذا، اکاؤنٹنٹ جنرل یا کسی اور کا اعتراض کوئی قانونی اثر نہیں رکھتا کیونکہ یہ آئین کے آرٹیکل 25 میں موجود ممانعت سے متاثر ہوگا۔
Under Article 5 of the Constitution it is the imperative obligation of the functionaries of the State to abide by the Constitution and the law because it has been held inviolable obligation of every citizen wherever he may be and of every other person for the time being within Pakistan.,آئین کے آرٹیکل 5 کے تحت ریاست کے ذمہ داران کا آئین اور قانون کی پاسداری کرنا لازمی ذمہ داری ہے کیونکہ یہ ہر شہری جہاں بھی ہو اور پاکستان کے اندر فی الحال ہر دوسرے فرد کا ناقابلِ تنسیخ فرض قرار دیا گیا ہے۔
"Now we are confronted with another situation because while exercising limited revisional juris diction the l earned Judge of the Peshawar High Court, Mingor a Bench Swat after setting aside the judgment and decree of the Civil Court remanded the case to it with further directions to return the plaint to the petitioners -plaintiffs to approach the Provi ncial Service Tribunal.",اب ہمیں ایک اور صورت حال کا سامنا ہے کیونکہ محدود نظرثانی دائرہ کار پر عمل کرتے ہوئے پشاور ہائی کورٹ کے جج منگور بنچ سوات نے سول کورٹ کے فیصلے اور حکم نامے کو ایک طرف رکھنے کے بعد کیس کو مزید ہدایت کے ساتھ ریمانڈ پر دے دیا کہ مدعی کو درخواست گزاروں کو واپس کر دیا جائے۔
In this regard while placing reliance on the dicta laid down by this Court in the case of I.A.,اس سلسلے میں I.A کے معاملے میں اس عدالت کی طرف سے وضع کردہ ڈکٹا پر انحصار کرتے ہوئے
"Sherwani (supra ) it would be highly painful and tiring-some for the petitioners plaintiffs if the case is remanded to the High Court, to be re-decided in light of the above proposition of law and Constitution because they would again incur heavy expenses on the fresh litigation before the High Court, engaging services of lawyers besides it will be time consuming factor as well , while on the other hand they have been given highly discriminatory treatment for no plausible reason whatsoever and deduction is being made from their monthly salari es CP 2167/14 13 or the pensionary benefits, t hus, they would suffer agony of a substantial nature.",شیروانی (سوپرا) درخواست گزار مدعیان کے لیے یہ انتہائی تکلیف دہ اور تھکا دینے والی بات ہو گی کہ اگر کیس ہائی کورٹ کو ریمانڈ کیا جاتا ہے تو قانون اور آئین کی مندرجہ بالا تجویز کی روشنی میں دوبارہ فیصلہ کیا جائے کیونکہ وہ دوبارہ ہائی کورٹ کے سامنے نئی قانونی چارہ جوئی پر بھاری اخراجات اٹھائیں گے، جبکہ اس کے ساتھ ساتھ دیگر وکلاء کی خدمات بھی ان کے پاس ہوں گی۔ بغیر کسی معقول وجہ کے انتہائی امتیازی سلوک کیا گیا ہے اور ان کی ماہانہ تنخواہ es CP 2167/14 13 یا پنشنری فوائد سے کٹوتی کی جا رہی ہے، اس لیے انہیں کافی تکلیف کا سامنا کرنا پڑے گا۔
"Accordingl y, while following the principle of law enunciated in I.A.",اس کے مطابق، I.A میں بیان کردہ قانون کے اصول پر عمل کرتے ہوئے
"Sherwani ’s case (ibid), and in view of the peculiar facts and circumstances of the present case while invoking the jurisdiction conferred upon this Court under Article 184(3) of the Constitution we hereby declare the impugned action/orders of the official respondents No.1 to 4 to be in violation of stric t and prohibitory command contained in Article 25 of the Constitution because the petitioner s and proforma respondent s/plaintiffs have been treated with sheer discriminat ion which cannot be approved on any prem ises whatsoever , therefore, this petition is converted into appeal and the same is allowed.",شیروانی کا مقدمہ (ibid) اور موجودہ کیس کے عجیب و غریب حقائق اور حالات کو مدنظر رکھتے ہوئے آئین کے آرٹیکل 184(3) کے تحت اس عدالت کو دیے گئے دائرہ اختیار کی استدعا کرتے ہوئے ہم سرکاری جواب دہندگان نمبر 1 تا 4 کے غیر قانونی کارروائی/ احکامات کو حکم امتناعی کی خلاف ورزی قرار دیتے ہیں۔ آئین کی وجہ سے درخواست گزار اور پروفارما جواب دہندگان/مدعیان کے ساتھ سراسر امتیازی سلوک کیا گیا ہے جو کسی بھی شرط پر منظور نہیں کیا جا سکتا، اس لیے اس درخواست کو اپیل میں تبدیل کر دیا جاتا ہے اور اسی کی اجازت ہے۔
"All the deductions so far made from the monthly salaries /pensionary benefits of the petitioners, pro forma respondents/plaintiffs and other alike shall be paid to them back within a period of two months by the official respondents and they are further restrained from deducting the same from the monthly salary/pension of the petitioners/proforma respondent s, plaintiffs and other alike and all benefits being accrued to them shall be returned by the official respondents in lump -sum within two months at the most.",عرضی گزاروں کی ماہانہ تنخواہ/پنشنری مراعات سے اب تک کی گئی تمام کٹوتی سرکاری جواب دہندگان کے ذریعہ دو ماہ کی مدت کے اندر انہیں واپس کی جائے گی اور انہیں درخواست گزاروں/پروفارما مدعا علیہ کی ماہانہ تنخواہ/پنشن سے کٹوتی کرنے سے مزید روک دیا جائے گا، مدعی اور دیگر تمام مراعات سرکاری طور پر انہیں واپس کی جائیں گی۔ جواب دہندگان زیادہ سے زیادہ دو ماہ کے اندر یکمشت۔
"Judge Judge Judge Islamabad, the 16th March, 2016 Nisar /-‘ ‘Approved for reporting ’ • ll 1 q 1 bb IN THE SUPREME COURT OF PAKISTAN (Appellate Jurisdiction) Present: Mr. Justice Sardar Tariq Masood Mr. Justice Amin-ud-Din Khan Mr. Justice Syed Hasan Azhar Ravi (4 P( ) Civil Petition No.2148-L/2022 Against the judgment dated 15.04.2022 passed by the Lahore High Court, Lahore in Civil Reuision No.2108 of 2014.",جج جج اسلام آباد، 16 مارچ، 2016 نثار/-‘ رپورٹنگ کے لیے منظور کیا گیا’ • ll 1 q 1 bb سپریم کورٹ آف پاکستان (اپیلٹ کا دائرہ اختیار) حاضر: مسٹر جسٹس سردار طارق مسعود مسٹر جسٹس امین الدین (سی 4) جسٹس (ر) سید حسن خان 15.04.2022 کے فیصلے کے خلاف پٹیشن نمبر 2148-L/2022 لاہور ہائی کورٹ، لاہور نے 2014 کے سول ری یوشن نمبر 2108 میں منظور کیا۔
Petitioner Versus Muhammad Altram etc.,پٹیشنر بمقابلہ محمد الترم وغیرہ
".Respondents For the petitioner: Mr. Muhammad Jawad Zafar, ASC through video link from Lahore.",درخواست گزار کے جواب دہندگان: جناب محمد جواد ظفر، اے ایس سی لاہور سے ویڈیو لنک کے ذریعے۔
"For the respondents: Mr. Haroon Dugal, ASC.",جواب دہندگان کے لیے: مسٹر ہارون دوگل، اے ایس سی۔
"Date of Hearing: 25January 2024 ORDER Amin-ud-Din Khan, J.",سماعت کی تاریخ: 25 جنوری 2024 آرڈر امین الدین خان، جے۔
"Through this petition filed under Article 185(3) of the Constitution of Islamic Republic of Pakistan, 1973 leave has been sought against the judgment dated 15.C)4.2022 passed by the learned Lahore High Court whereby Civil Revision No.",اسلامی جمہوریہ پاکستان کے آئین کے آرٹیکل 185(3) کے تحت دائر کی گئی اس درخواست کے ذریعے لاہور ہائی کورٹ کے 15.C)4.2022 کے فیصلے کے خلاف 1973 کی چھٹی مانگی گئی ہے جس کے تحت سول نظرثانی نمبر۔
2108 of 2014 filed by the petitioner was dismissed.,درخواست گزار کی جانب سے دائر 2014 کے 2108 کو خارج کر دیا گیا۔
The petitioner is the vendee and the defendant in a suit for pre- emption filed by the respondents-plaintiffs.,مدعا علیہ-مدعیان کی طرف سے دائر کردہ پیشگی استثنیٰ کے مقدمے میں درخواست گزار فروخت کنندہ اور مدعا علیہ ہے۔
He filed the written statement and contested the suit.,اس نے تحریری بیان درج کرایا اور مقدمہ لڑا۔
Both the parties produced their oral as well as documentary evidence in order to prove their respective pleadings and contentions.,دونوں فریقین نے اپنے اپنے دلائل اور دلائل کو ثابت کرنے کے لیے زبانی اور دستاویزی ثبوت پیش کیے تھے۔
"Following the conclusion of trial, the learned trial court dismissed the suit vide judgment and decree dated 28.04.2009.",مقدمے کی سماعت کے اختتام کے بعد، فاضل عدالت نے 28.04.2009 کے فیصلے اور حکم نامے کے ذریعے مقدمے کو خارج کر دیا۔
Appeal filed there-against was allowed and the suit was decreed by the learned first appellatc court.,وہاں کے خلاف دائر اپیل کی اجازت دی گئی اور مقدمے کا فیصلہ پہلی اپیلٹ کورٹ نے سنایا۔
Revision was filed by the vendec-defendant- petitioner but it was dismissed.,وینڈیک-مدعا علیہ- درخواست گزار کی طرف سے نظر ثانی دائر کی گئی تھی لیکن اسے خارج کر دیا گیا تھا۔
"After hcaring the learned counsel for the petitioner, notice was issued to the other side.",درخواست گزار کے وکیل کے دلائل کے بعد دوسری جانب کو نوٹس جاری کر دیا گیا۔
Learned counsel for the plaintiffs-respondents is present.,مدعیان و مدعا علیہان کے علمی وکیل موجود ہیں۔
We havc heard the learned counsel for the parties at length.,ہم نے طویل عرصے تک فریقین کے علمی وکیل کو سنا۔
n\ Civil Petition No.2148-L of 20222 4.,n\ سول پٹیشن نمبر 2148-L آف 20222 4۔
"The right of pre-emption is a piratical right, and the pre- emptor must prove the essential conditions for the exercise of such right in accordance with the provisions of Section 13 of the Punjab Pre- emption Act, 1991 (“Act 1991”).","پری ایمپشن کا حق ایک سمندری حق ہے، اور پری ایمپشن کرنے والے کو پنجاب پری ایمپشن ایکٹ، 1991 (""ایکٹ 1991"") کے سیکشن 13 کی دفعات کے مطابق اس طرح کے حق کے استعمال کے لیے ضروری شرائط ثابت کرنی ہوں گی۔"
"It goes without saying that a pre- emptor, without proving the performance of Talb-i-Mutuathibat and Tatb+ Ishhad strictly in accordance with the provisions of Section 13 of the Act, 1991, cannot succeed.",یہ کہے بغیر کہ ایک پیشوا، ایکٹ، 1991 کے سیکشن 13 کی دفعات کے مطابق تلبیہ متواضع اور تبت + اشہد کی کارکردگی کو سختی سے ثابت کیے بغیر کامیاب نہیں ہو سکتا۔
"In the context of this particular case, the respondents, to prove the factual of Talb-i-Mutuathibat, asserted that they received information about the sale of the suit land on 05.02.2004 at 12 noon through one Ghulam Mustafa while they were sitting in their house.",اس خاص کیس کے تناظر میں، مدعا علیہان نے تلبیہ متوفی کی حقیقت کو ثابت کرنے کے لیے کہا کہ انہیں سوٹ اراضی کی فروخت کی اطلاع 05.02.2004 کو دوپہر 12 بجے ایک غلام مصطفیٰ کے ذریعے اس وقت ملی جب وہ اپنے گھر میں بیٹھے تھے۔
They immediately exercised their right of pre-emption during the same meeting.,انہوں نے اسی میٹنگ کے دوران فوری طور پر پری ایمپشن کا اپنا حق استعمال کیا۔
Ghulam Mustafa (the informer) appeared as PW-2 and supported the stance of the respondents by asserting that he received information about the sale of the suit land from one Muhammad Basharat who met him at Pasrur on 05.02.2004 and thereafter he informed the respondents about it the same day.,غلام مصطفیٰ (مخبر) PW-2 کے طور پر پیش ہوئے اور انہوں نے جواب دہندگان کے موقف کی تائید کرتے ہوئے کہا کہ اسے ایک محمد بشارت سے سوٹ اراضی کی فروخت کی اطلاع ملی جس نے اس سے 05.02.2004 کو پسرور میں ملاقات کی اور اس کے بعد اسی دن اس نے جواب دہندگان کو اس کی اطلاع دی۔
They then jointly made Talb-i-Muu>athibat in the same meeting.,اس کے بعد انہوں نے ایک ہی اجلاس میں مشترکہ طور پر تلبیہ معوذ >ذیبات کی ۔
"However, during cross- examination, PW-2 (the informer) disclosed that respondent No.",تاہم، جرح کے دوران، PW-2 (مخبر) نے انکشاف کیا کہ جواب دہندہ نمبر۔
"2, Muhammad Ashraf, announced to exercise his right of pre-emption one or two minutes after respondent No.",2، محمد اشرف نے جواب دہندہ نمبر 2 کے ایک یا دو منٹ بعد اپنا پری ایمپشن کا حق استعمال کرنے کا اعلان کیا۔
"Admittedly, there is a delay of one or two minutes in the making of Tatb-i-Mutuathibat by respondent No.",اس بات کا اقرار ہے کہ جواب دہندہ نمبر 1 کی طرف سے تتبع متواتبت بنانے میں ایک یا دو منٹ کی تاخیر ہوئی ہے۔
The question before this Court now is whether this defect is sufficient to non-suit the respondents.,اب اس عدالت کے سامنے سوال یہ ہے کہ کیا یہ عیب جواب دہندگان کے لیے کافی ہے؟
"Explanation (1) to Section 13 of the Act 1991 provides the definition of 'Talb-i-Mutvathibat.’ it states that 'Talb-i-Mutuathibat ' means an immediate demand by a pre-emptor, in the sitting or meeting {Majhs\ in which he has come to know of the sale, declaring his intention to exercise the right of pre-emption.",ایکٹ 1991 کے سیکشن 13 کی وضاحت (1) میں 'طلبِ متواضعات' کی تعریف فراہم کی گئی ہے۔ اس میں کہا گیا ہے کہ 'طلبِ متواتِبات' کا مطلب ہے کسی قبل از وقت کی طرف سے فوری مطالبہ، مجلس یا مجلس میں جس میں اسے فروخت کے بارے میں معلوم ہوا ہو، اس کے حق کا اعلان کرتے ہوئے
The term 'immediate demand' supra is of immense importance and remained under discussion and interpretation before this Court in various cases.,'فوری ڈیمانڈ' سوپرا کی اصطلاح بہت اہمیت کی حامل ہے اور مختلف مقدمات میں اس عدالت کے سامنے زیر بحث رہی۔
"Particularly, a five- member bench of this Court in the case of Mian Pir Muhammad and another versus Faqir Muhammad throuqh L.Rs.",خاص طور پر اس عدالت کے پانچ رکنی بنچ نے میاں پیر محمد اور ایک اور بمقابلہ فقیر محمد تھروخ ایل.
"and others (PLD 2007 Supreme Court 302) while referring to Black’s Law Dictionary, as well as various other decisions on the subject, concluded that the condition of immediate demand means that Talb-i-Muulathibat has to be performed in the same meeting and sitting, without any loss of time and as soon as information of the sale was received by the pre-emptor.",اور دیگر (PLD 2007 سپریم کورٹ 302) نے Black’s Law Dictionary کے ساتھ ساتھ اس موضوع پر مختلف دیگر فیصلوں کا حوالہ دیتے ہوئے یہ نتیجہ اخذ کیا کہ فوری مطالبہ کی شرط کا مطلب یہ ہے کہ تلبیہ مفتی ایک ہی میٹنگ اور بیٹھک میں ادا کی جائے، بغیر کسی وقت ضائع کیے اور جیسے ہی فروخت کی اطلاع پری کو موصول ہوئی۔
The relevant paragraph of the above judgment is reproduced hereunder for convenience : A Civil Petition No.2148-L of 20223 “ 4.,مندرجہ بالا فیصلے کا متعلقہ پیراگراف یہاں سہولت کے لیے دوبارہ پیش کیا جاتا ہے: ایک سول پٹیشن نمبر 2148-L آف 20223 “4۔
"It is observed that great emphasis and importance is to be giuen to this word in making of Tatb-i-Muwathibat and it is necessary that as soon as the pre-emI)tor acquired knowledge of the sale of pre-empted property he should make immediate demand for his desire and intention to assert his riqht of pre-emption without the slightest loss o,f time.” (Emphasis Supplied) 6.",مشاہدہ کیا گیا ہے کہ تتبع مطبع بنانے میں اس لفظ کی بہت زیادہ تاکید اور اہمیت ہے اور یہ ضروری ہے کہ قبل از وقت املاک کی فروخت کا علم حاصل کرتے ہی وہ اپنی خواہش اور ارادہ کا فوری مطالبہ کرے اور بغیر کسی نقصان کے اپنے قبل از وقت کا حق ادا کرے۔ (زور دیا گیا) 6۔
"Later, this Court in the case of Muhammad Nazeef Khan uersus Gutbat Khan and others (2012 SCMR 235) while examining the definition of ’'sale"" under section 2(d) and section 13(1) of the Khyber Pakhtunkhwa Pre-emption Act, 1987 held that the pre-emptor is required to make Talb- i-Mutuathibat immediately upon receiving information of the sale regardless of whether the conditions laid down for completion of sale have been fulfilled.",بعد ازاں، اس عدالت نے محمد نظیف خان کے کیس میں گفت خان اور دیگر (2012 SCMR 235) خیبر پختونخوا پری ایمپشن ایکٹ 1987 کے سیکشن 2(d) اور سیکشن 13(1) کے تحت ’فروخت‘ کی تعریف کا جائزہ لیتے ہوئے قرار دیا کہ قبل از ایمپلیٹر کو فوری طور پر دوبارہ معلومات فراہم کرنے کی ضرورت ہے۔ فروخت کی اس بات سے قطع نظر کہ فروخت کی تکمیل کے لیے جو شرائط رکھی گئی ہیں وہ پوری ہوئی ہیں۔
The relevant paragraph of the above judgment is reproduced hcreunder for ease of reference: “ 7.,مذکورہ فیصلے کا متعلقہ پیراگراف حوالہ کی آسانی کے لیے دوبارہ پیش کیا جاتا ہے: “7۔
"For the purpose of exercise of the right of pre-emI)tion, sale must be complete in all respect in accordance with its definition gitlen in section 2(d) of the Act, namely, permanent transfer of the property and payment of ualuable consideration.",پری ایم آئی کے حق کے استعمال کے مقصد کے لیے، ایکٹ کے سیکشن 2(d) میں اس کی تعریف gitlen کے مطابق فروخت ہر لحاظ سے مکمل ہونی چاہیے، یعنی جائیداد کی مستقل منتقلی اور قیمتی رقم کی ادائیگی۔
"The right, therefore, cannot be exercised untilthe two conditions exist.",لہٰذا جب تک دو شرائط موجود نہ ہوں اس حق کو استعمال نہیں کیا جا سکتا۔
"The said definition of ''Sale'’ becomes relevant totten controuersy arises as to whether or not the property in question was sold, conferring right of preemption on the pre-emptor/plaintiff.",''فروخت'' کی مذکورہ تعریف متعلقہ مکمل تنازعہ پیدا کرتی ہے کہ آیا زیر بحث جائیداد بیچی گئی تھی یا نہیں، پری ایمپٹر/مدعی کو پریمپشن کا حق دیا جاتا ہے۔
"The fUlfIlment or otherwise of the tIVO conditions mentioned in section 2(d) of the Act, howeuer, may not be reteuant in the context in which the word ""Sale"" in subsection (3) of section 13 of the Act has been used.","ایکٹ کے سیکشن 2(d) میں مذکور tIVO شرائط کی تکمیل یا دوسری صورت میں، تاہم، اس سیاق و سباق میں رد نہیں کیا جا سکتا جس میں ایکٹ کے سیکشن 13 کی ذیلی دفعہ (3) میں لفظ ""فروخت"" استعمال کیا گیا ہے۔"
The latter provision mandates the pre- emF)tor to make immediate demand in the same sittinq or meetinq in which he acquires knowtedqe of the sale.,مؤخر الذکر شق pre-emF) کو اسی نشست یا میٹنگ میں فوری مطالبہ کرنے کا حکم دیتی ہے جس میں وہ فروخت کا علم حاصل کرتا ہے۔
"This stringent protdsion does not aZZow the preemptor to postpone the making Qf Talb-e-Muurasibat in order to make ,further inquiry or probe as to whether or not the sale was complete in aZZ respects.",اس سخت اقدام سے قبل از وقت اس بات کی اجازت نہیں دی جاتی ہے کہ وہ Qf طالب المورصبت بنانے کو ملتوی کر دے تاکہ مزید انکوائری یا تحقیقات کی جا سکے کہ آیا aZZ کے حوالے سے فروخت مکمل ہوئی تھی یا نہیں۔
"The Tatb is to be made regardless qf the credibility qf the information.” (Emphasis Supplied) 7 Similarly, this Court in the case of Bashir Ahmed versus Muhammad ZanLan (2021 SCMR 134) observed that the use of the word 'immediate demand’ in section 13 supra is significant and cannot be undermined and concluded that a delay of two hours in making the demand of Talb-i-Mutuathibat is not an immediate demand and such delay is fatal to a successful claim of pre-ernption.","معلومات کی اعتباریت سے قطع نظر تبت کو بنایا جائے گا۔"" اسی طرح بشیر احمد بمقابلہ محمد زن لان (2021 SCMR 134) کے معاملے میں اس عدالت نے مشاہدہ کیا کہ سیکشن 13 سپرا میں لفظ 'فوری ڈیمانڈ' کا استعمال اہم ہے اور اس کو کمزور نہیں کیا جا سکتا اور یہ نتیجہ اخذ کیا گیا ہے کہ طالب علم کے مطالبے کو بنانے میں دو گھنٹے کی تاخیر اس طرح کی فتویٰ طلب نہیں ہے۔ پیشگی تیاری کا ایک کامیاب دعویٰ۔"
The relevant paragraph of the above judgment is reproduced hereunder for convenlence : \ Civil Petition No.2148-L of 2022 8.,مندرجہ بالا فیصلے کا متعلقہ پیراگراف یہاں سہولت کے لیے دوبارہ پیش کیا جاتا ہے: \ سول پٹیشن نمبر 2148-L آف 2022 8۔
It would be relevant to mention here that this Court before Bashir Ahmed’s case supra has already held in the case of Mst .,یہاں یہ بتانا مناسب ہوگا کہ یہ عدالت بشیر احمد کے کیس سے قبل محترمہ کے کیس کی سپرا بھی کر چکی ہے۔
Rooh Afza uersus Auranqzeb and others (2015 SCMR 92) that even a delay of 10 to 15 minutes before the exercise of such right (Talb-i-Muwathibat\ is fatal to the case of the pre-emptor.,روح افزا اورانقزیب اور دیگر (2015 SCMR 92) کہ اس طرح کے حق کے استعمال سے پہلے 10 سے 15 منٹ کی تاخیر بھی (طلبِ مُواطِبت\) قبل از وقت کرنے والے کے لیے مہلک ہے۔
The relevant observation by this Court is reproduced hereunder for ease of reference: 9.,اس عدالت کی طرف سے متعلقہ مشاہدے کو حوالہ کی آسانی کے لیے ذیل میں دوبارہ پیش کیا جاتا ہے: 9۔
It is evident from the record that there is no dispute regarding the making of Talb-i-Mutuathibat by both respondents.,ریکارڈ سے معلوم ہوتا ہے کہ دونوں مدعا علیہان میں تلبیہ متواضع کے متعلق کوئی اختلاف نہیں ہے۔
"However, a delay of one or two minutes surfaces in the case of respondent No.",تاہم، جواب دہندہ نمبر کے معاملے میں ایک یا دو منٹ کی تاخیر سامنے آتی ہے۔
"Upon a careful examination of the portion of the evidence of the PW-2 (the informer), as reproduced by the learned trial court in its judgment, it becomes apparent that respondent No.",PW-2 (مخبر) کے شواہد کے حصے کا بغور جائزہ لینے پر، جیسا کہ تجربہ کار ٹرائل کورٹ نے اپنے فیصلے میں دوبارہ پیش کیا ہے، یہ واضح ہو جاتا ہے کہ جواب دہندہ نمبر۔
"1 initiated Talb-i-Muulathibat first, followed by respondent No.",1 نے سب سے پہلے تلبیہ علمی شروع کی، اس کے بعد جواب دہندہ نمبر۔
1t can be inferred that respondent No.,1t سے اندازہ لگایا جا سکتا ہے کہ جواب دہندہ نمبر۔
2 waited for respondent No.,2 نے جواب دہندہ نمبر کا انتظار کیا۔
"1 to complete his declaration of Tatb-i-Mutuathibat before making his own declaration, resulting in a brief delay of one or two minutes.",1 اپنا اعلان کرنے سے پہلے اپنے تتبع متعثبت کا اعلان مکمل کرنا، جس کے نتیجے میں ایک یا دو منٹ کی مختصر تاخیر ہوتی ہے۔
"We are mindful of the established principle that as soon as the pre-emptors acquire knowledge of the sale of the pre-empted property, they should make an immediate demand of their desire and intention to assert their right of pre-emption without the slightest loss of time.4 “ 4.",ہم اس قائم کردہ اصول کو ذہن میں رکھتے ہیں کہ جیسے ہی قبل از وقت املاک کو پہلے سے خالی جائیداد کی فروخت کا علم حاصل ہو جاتا ہے، انہیں وقت کے معمولی نقصان کے بغیر اپنی خواہش اور ارادے کا فوری مطالبہ کرنا چاہیے۔4 “4۔
We now consider whether a two hour delay in making the demand of Talb-i-Muulathibat is fatal to a pre- emI)tion suit.,اب ہم اس بات پر غور کرتے ہیں کہ کیا تلبیہ علمی کا مطالبہ کرنے میں دو گھنٹے کی تاخیر پری ایم آئی کے مقدمے کے لیے مہلک ہے؟
"The Explanation to subsection (1) of Section 13 of the North-West Frontier Province Pre-emption Act, 1987 states that, Tatb-i-Muulathibat 'means immediate demand by the preemptor in the sitting or meeting (Majlis) in which he has come to know of the sale declaring his intention to exercise the right of pre-emption.’The use qf the wordimmediate is sign{ficant and cannot be undermined; a delay qf two hours in making the demand Qf Talb-i-Muwathibat is not an immediate demand and such delay is .fatal to a succesqfut claim qf pre-emption.” (Emphasis Supplied) “ ll...we fInd that the case of the appellant for making Talb-i- Muulathibat in accordance with law stood demolished as without any justifIcation she consumed 10-15 minutes to discuss the matter with her family members before takinq the decision of exercising her riqht of pre-emption in respect of the suit land.","شمال مغربی سرحدی صوبہ پری ایمپشن ایکٹ، 1987 کے سیکشن 13 کی ذیلی دفعہ (1) کی وضاحت میں کہا گیا ہے کہ، 'تبّلِ مُلَاثِیْبَت' کا مطلب ہے نشست یا اجلاس (مجلس) میں پیشگی مطالبہ کرنے والے کی طرف سے فوری مطالبہ جس میں اسے فروخت کے بارے میں معلوم ہوا ہے کہ وہ اپنے حق کے استعمال کا اعلان کرے۔ wordimmediate علامتی ہے اور اسے کمزور نہیں کیا جا سکتا۔ مطالبہ کرنے میں دو گھنٹے کی تاخیر Qf طالب الموثبت فوری مطالبہ نہیں ہے اور اس طرح کی تاخیر کامیابی کے دعویٰ کے لئے مہلک ہے۔ (زور دیا گیا) ""ہم نے دیکھا ہے کہ قانون کے مطابق تلبیہ مفتی بنانے کے لیے اپیل کنندہ کا مقدمہ گرا دیا گیا کیونکہ اس نے بغیر کسی جواز کے اس نے 10-15 منٹ کا وقت اپنے خاندان کے افراد کے ساتھ اس معاملے پر بات کرنے کے لیے استعمال کیا، اس سے پہلے کہ اس نے قبل از وقت زمین کے معاملے میں اپنی رعیت استعمال کرنے کا فیصلہ کیا۔"
"In the statute, use of the word ""immediate"" in the context of ’'Talb-i-MuuJathibat"" has its own meaning and signifIcance, thus no redundancy can be attributed to it to accommodate a pre-emI)tor, who has not been vigilant in making such ""Talb"".",قانون میں، ’طلبِ معوذتی‘ کے تناظر میں ’فوری‘ کا لفظ استعمال کرنے کا اپنا ایک مطلب اور اہمیت ہے، لہٰذا اس سے قبل از ایم آئی ٹور، جو اس طرح کے ’طلب‘ بنانے میں چوکس نہ رہا ہو، اس سے کوئی بے کاری منسوب نہیں کی جا سکتی۔
"The lapse Qf 1 O-15 minutes before the exercise qf such right fTatb-i-Muwathibat) was, thus, ,fatal to the case qf the appellant.",مشق qf سے قبل Qf 1 O-15 منٹ پہلے اس طرح کے حق التتبع الموثبت) کی غلطی، اس طرح، اپیل کنندہ کے لئے مہلک تھی۔
” (Emphasis Supplied) Civil Petition No.2148-L of 2022 5 10.,(زور دیا گیا) سول پٹیشن نمبر 2148-L آف 2022 5 10۔
"On the other hand, Muhammad Basharat Ali, from whom PW-2 (the informer) received information regarding the sale of the suit land, appeared as DW-3 and contradicted the account given by PW-2 (the informer).",دوسری طرف، محمد بشارت علی، جس سے PW-2 (مخبر) نے سوٹ کی زمین کی فروخت کے حوالے سے معلومات حاصل کی تھیں، DW-3 کے طور پر ظاہر ہوئے اور PW-2 (مخبر) کے دیے گئے اکاؤنٹ کی تردید کی۔
"He asserted that he did not meet the informer in Pasrur on 05.02.2004, nor did he inform him about the sale of the suit land.",اس نے مؤقف اختیار کیا کہ وہ 05.02.2004 کو پسرور میں مخبر سے نہیں ملا اور نہ ہی اسے سوٹ کی زمین کی فروخت کے بارے میں بتایا۔
